Data,PIR
2016/04/16 09:14:28,1
2016/04/16 09:14:31,0
2016/04/16 09:14:38,1
2016/04/16 09:14:42,0
2016/04/16 09:19:22,1
2016/04/16 09:19:25,0
2016/04/16 09:32:27,1
2016/04/16 09:32:54,0
2016/04/16 09:33:00,0
2016/04/16 09:33:08,1
2016/04/16 09:33:18,0
2016/04/16 09:33:20,1
2016/04/16 09:33:22,0
2016/04/16 09:51:57,1
2016/04/16 09:52:00,0
2016/04/16 10:01:16,1
2016/04/16 10:08:54,1
2016/04/16 10:08:57,0
2016/04/16 10:25:21,1
2016/04/16 10:25:24,0
2016/04/16 10:30:09,0
2016/04/16 10:37:40,1
2016/04/16 10:37:43,0
2016/04/16 10:38:53,1
2016/04/16 10:38:56,0
2016/04/16 10:40:20,1
2016/04/16 10:41:00,1
2016/04/16 10:41:03,0
2016/04/16 10:44:07,1
2016/04/16 10:44:10,0
2016/04/16 10:45:09,1
2016/04/16 10:45:12,0
2016/04/16 10:45:49,1
2016/04/16 10:45:59,0
2016/04/16 10:52:50,1
2016/04/16 10:52:53,0
2016/04/16 10:52:59,1
2016/04/16 10:53:01,0
2016/04/16 10:53:30,1
2016/04/16 10:53:32,0
2016/04/16 10:54:10,1
2016/04/16 10:54:19,0
2016/04/16 10:57:27,1
2016/04/16 10:57:32,0
2016/04/16 10:59:08,1
2016/04/16 10:59:12,0
2016/04/16 11:00:10,0
2016/04/16 11:00:27,1
2016/04/16 11:00:29,0
2016/04/16 11:01:06,1
2016/04/16 11:01:08,0
2016/04/16 11:01:25,1
2016/04/16 11:01:42,0
2016/04/16 11:02:23,1
2016/04/16 11:02:28,0
2016/04/16 11:08:53,1
2016/04/16 11:09:01,0
2016/04/16 11:09:47,0
2016/04/16 11:10:46,1
2016/04/16 11:10:50,0
2016/04/16 11:15:38,1
2016/04/16 11:15:44,0
2016/04/16 11:15:47,1
2016/04/16 11:15:56,0
2016/04/16 11:16:32,1
2016/04/16 11:16:35,0
2016/04/16 11:16:45,1
2016/04/16 11:16:48,0
2016/04/16 11:16:52,1
2016/04/16 11:16:55,0
2016/04/16 11:17:02,1
2016/04/16 11:17:15,0
2016/04/16 11:17:24,0
2016/04/16 11:17:34,1
2016/04/16 11:17:38,0
2016/04/16 11:17:58,1
2016/04/16 11:18:16,0
2016/04/16 11:18:32,1
2016/04/16 11:18:37,0
2016/04/16 11:18:44,1
2016/04/16 11:18:47,0
2016/04/16 11:19:04,1
2016/04/16 11:19:12,0
2016/04/16 11:20:06,1
2016/04/16 11:20:11,0
2016/04/16 11:25:42,0
2016/04/16 11:48:14,1
2016/04/16 11:48:18,0
2016/04/16 12:14:13,1
2016/04/16 12:14:16,0
2016/04/16 12:14:19,1
2016/04/16 12:14:29,0
2016/04/16 13:38:55,1
2016/04/16 13:39:04,0
2016/04/16 13:43:54,1
2016/04/16 13:43:57,0
2016/04/16 13:48:08,1
2016/04/16 13:48:11,0
2016/04/16 13:48:22,1
2016/04/16 13:48:25,0
2016/04/16 13:48:45,0
2016/04/16 13:48:59,0
2016/04/16 13:49:06,1
2016/04/16 13:49:09,0
2016/04/16 19:09:20,1
2016/04/16 19:09:23,0
2016/04/16 19:18:14,1
2016/04/16 19:18:17,0
2016/04/16 19:22:32,0
2016/04/16 19:24:45,1
2016/04/16 19:24:50,0
2016/04/16 19:26:28,1
2016/04/16 19:26:32,0
2016/04/16 19:31:33,0
2016/04/16 20:13:33,0
2016/04/16 20:13:34,1
2016/04/16 20:13:38,0
2016/04/16 20:14:58,1
2016/04/16 20:43:18,1
2016/04/16 21:16:25,1
2016/04/16 21:16:28,0
2016/04/16 21:27:27,1
2016/04/16 21:27:37,0
2016/04/16 21:28:10,1
2016/04/16 21:28:12,0
2016/04/16 21:28:17,1
2016/04/16 21:28:22,0
2016/04/16 21:28:32,0
2016/04/16 21:28:32,0
2016/04/16 21:28:42,0
2016/04/16 23:52:21,0
2016/04/16 23:52:21,0
2016/04/16 23:52:35,0
2016/04/16 23:52:35,0
2016/04/16 23:53:03,1
2016/04/16 23:53:13,0
2016/04/16 23:54:54,1
2016/04/16 23:54:58,0
2016/04/17 00:09:01,0
2016/04/17 00:10:13,1
2016/04/17 00:10:18,0
2016/04/17 00:15:37,1
2016/04/17 00:15:40,0
2016/04/17 00:16:11,1
2016/04/17 00:16:23,0
2016/04/17 00:16:43,0
2016/04/17 00:16:43,0
2016/04/17 07:09:56,1
2016/04/17 07:12:29,1
2016/04/17 07:24:48,1
2016/04/17 07:24:53,0
2016/04/17 07:25:14,0
2016/04/17 07:39:41,1
2016/04/17 07:39:43,0
2016/04/17 07:41:46,1
2016/04/17 07:41:49,0
2016/04/17 07:44:07,1
2016/04/17 07:44:10,0
2016/04/17 07:56:44,0
2016/04/17 08:01:44,1
2016/04/17 08:01:47,0
2016/04/17 08:01:48,1
2016/04/17 08:01:53,0
2016/04/17 08:06:54,1
2016/04/17 08:09:19,1
2016/04/17 08:09:21,0
2016/04/17 08:13:01,1
2016/04/17 08:13:05,0
2016/04/17 08:13:34,1
2016/04/17 08:13:39,0
2016/04/17 08:14:11,1
2016/04/17 08:14:15,0
2016/04/17 08:16:04,1
2016/04/17 08:16:09,0
2016/04/17 08:17:18,1
2016/04/17 08:17:21,0
2016/04/17 08:18:04,1
2016/04/17 08:18:07,0
2016/04/17 08:32:38,1
2016/04/17 08:32:41,0
2016/04/17 08:33:42,1
2016/04/17 08:33:45,0
2016/04/17 08:38:37,0
2016/04/17 08:38:41,0
2016/04/17 08:39:35,1
2016/04/17 08:44:06,1
2016/04/17 08:44:21,1
2016/04/17 08:44:26,0
2016/04/17 08:44:57,1
2016/04/17 08:46:41,1
2016/04/17 08:46:46,0
2016/04/17 08:47:17,1
2016/04/17 08:47:19,0
2016/04/17 08:54:30,1
2016/04/17 08:54:33,0
2016/04/17 09:29:26,1
2016/04/17 09:29:31,0
2016/04/17 09:32:02,1
2016/04/17 09:32:07,0
2016/04/17 09:35:10,1
2016/04/17 09:35:15,0
2016/04/17 09:43:07,1
2016/04/17 09:43:09,0
2016/04/17 10:00:16,1
2016/04/17 10:00:19,0
2016/04/17 10:06:18,0
2016/04/17 10:12:47,1
2016/04/17 10:12:50,0
2016/04/17 10:14:36,1
2016/04/17 10:14:39,0
2016/04/17 10:17:14,1
2016/04/17 10:17:17,0
2016/04/17 10:40:43,1
2016/04/17 10:40:46,0
2016/04/17 11:00:21,1
2016/04/17 11:00:23,0
2016/04/17 11:05:52,1
2016/04/17 11:05:55,0
2016/04/17 11:08:25,1
2016/04/17 11:08:28,0
2016/04/17 11:09:52,1
2016/04/17 11:09:55,0
2016/04/17 11:46:39,1
2016/04/17 11:46:45,0
2016/04/17 12:17:07,1
2016/04/17 12:17:19,0
2016/04/17 13:45:43,1
2016/04/17 13:45:51,0
2016/04/17 13:49:37,1
2016/04/17 13:49:42,0
2016/04/17 14:44:05,1
2016/04/17 14:44:09,0
2016/04/17 14:44:11,1
2016/04/17 14:44:26,0
2016/04/17 18:40:47,1
2016/04/17 18:40:57,0
2016/04/17 18:41:43,1
2016/04/17 18:41:48,0
2016/04/17 19:15:22,1
2016/04/17 19:15:26,0
2016/04/17 19:25:50,0
2016/04/17 19:27:31,1
2016/04/17 19:27:35,0
2016/04/17 19:33:14,0
2016/04/17 19:36:26,1
2016/04/17 19:36:32,0
2016/04/17 20:03:48,1
2016/04/17 20:03:54,0
2016/04/17 20:10:45,1
2016/04/17 20:10:48,0
2016/04/17 20:15:32,1
2016/04/17 20:15:35,0
2016/04/17 21:03:28,1
2016/04/17 21:03:31,0
2016/04/17 21:07:19,1
2016/04/17 21:07:22,0
2016/04/17 21:10:01,1
2016/04/17 21:10:04,0
2016/04/17 21:10:12,1
2016/04/17 21:10:15,0
2016/04/17 21:17:33,1
2016/04/17 21:17:36,0
2016/04/17 21:17:49,1
2016/04/17 21:17:52,0
2016/04/17 21:22:53,1
2016/04/17 21:22:56,0
2016/04/17 21:23:27,1
2016/04/17 21:23:52,1
2016/04/17 21:23:57,0
2016/04/17 21:24:06,0
2016/04/17 21:24:18,0
2016/04/17 21:24:19,0
2016/04/17 21:24:19,0
2016/04/17 21:53:33,0
2016/04/17 21:53:33,0
2016/04/17 21:53:33,0
2016/04/17 23:39:37,0
2016/04/17 23:40:08,1
2016/04/17 23:40:14,0
2016/04/17 23:41:15,0
2016/04/17 23:41:47,1
2016/04/17 23:41:50,0
2016/04/17 23:50:15,1
2016/04/17 23:50:19,0
2016/04/18 00:07:03,0
2016/04/18 00:07:06,1
2016/04/18 00:07:10,0
2016/04/18 00:13:22,1
2016/04/18 00:14:13,0
2016/04/18 00:14:15,1
2016/04/18 00:14:18,0
2016/04/18 00:14:24,1
2016/04/18 00:14:29,0
2016/04/18 00:17:02,1
2016/04/18 00:17:05,0
